dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9934,1/1/14,2.902,1.188,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.239,0.000,,,,0.000,,,0.008,0.005,,,,,,,,,0.116,,,,,,0.000,,,,,,,,,,,,,2.513,,,,,,,,0.539,,
9934,1/1/14 0:15,5.333,1.129,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.228,0.004,,,,0.000,,,0.008,0.006,,,,,,,,,0.116,,,,,,0.003,,,,,,,,,,,,,4.944,,,,,,,,1.786,,
9934,1/1/14 0:30,3.753,1.528,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.305,0.000,,,,0.000,,,0.008,0.006,,,,,,,,,0.116,,,,,,0.000,,,,,,,,,,,,,3.364,,,,,,,,0.763,,
9934,1/1/14 0:45,2.795,1.951,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.392,0.000,,,,0.000,,,0.008,0.069,,,,,,,,,0.117,,,,,,0.000,,,,,,,,,,,,,2.337,,,,,,,,0.000,,
9934,1/1/14 1:00,1.974,1.214,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.246,0.000,,,,0.000,,,0.008,0.116,,,,,,,,,0.117,,,,,,0.000,,,,,,,,,,,,,1.465,,,,,,,,0.000,,
9934,1/1/14 1:15,2.249,1.450,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.292,0.000,,,,0.000,,,0.008,0.112,,,,,,,,,0.117,,,,,,0.000,,,,,,,,,,,,,1.744,,,,,,,,0.000,,
9934,1/1/14 1:30,3.244,2.188,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.442,0.000,,,,0.000,,,0.008,0.110,,,,,,,,,0.125,,,,,,0.000,,,,,,,,,,,,,2.732,,,,,,,,0.000,,
9934,1/1/14 1:45,5.816,1.375,,,,,,,0.005,,,,,0.042,,,,0.000,,0.000,,0.000,0.281,0.004,,,,0.000,,,0.008,0.110,,,,,,,,,0.297,,,,,,0.004,,,,,,,,,,,,,5.042,,,,,,,,0.000,,
9934,1/1/14 2:00,6.681,2.228,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.451,0.004,,,,0.000,,,0.008,0.108,,,,,,,,,0.293,,,,,,0.004,,,,,,,,,,,,,6.019,,,,,,,,0.000,,
9934,1/1/14 2:15,5.314,1.386,,,,,,,0.000,,,,,0.000,,,,0.000,,0.000,,0.000,0.284,0.004,,,,0.000,,,0.008,0.107,,,,,,,,,0.293,,,,,,0.004,,,,,,,,,,,,,4.653,,,,,,,,0.000,,
