dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
5395,1/1/14,1.301,0.000,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.390,,,,,,,0.000,,,0.000,,0.039,0.259,0.483,,,,,,0.008,,,,,,,,,,,,0.049,,,,,1.271,,,,,,,,,,
5395,1/1/14 0:15,1.399,0.005,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.392,,,,,,,0.000,,,0.000,,0.039,0.258,0.631,,,,,,0.009,,,,,,,,,,,,0.000,,,,,1.371,,,,,,,,,,
5395,1/1/14 0:30,1.515,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.388,,,,,,,0.000,,,0.000,,0.038,0.258,0.663,,,,,,0.009,,,,,,,,,,,,0.088,,,,,1.488,,,,,,,,,,
5395,1/1/14 0:45,1.435,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.378,,,,,,,0.000,,,0.000,,0.038,0.258,0.627,,,,,,0.009,,,,,,,,,,,,0.053,,,,,1.407,,,,,,,,,,
5395,1/1/14 1:00,1.407,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.403,,,,,,,0.000,,,0.000,,0.038,0.258,0.629,,,,,,0.009,,,,,,,,,,,,0.000,,,,,1.380,,,,,,,,,,
5395,1/1/14 1:15,1.452,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.384,,,,,,,0.000,,,0.000,,0.039,0.259,0.627,,,,,,0.009,,,,,,,,,,,,0.065,,,,,1.424,,,,,,,,,,
5395,1/1/14 1:30,1.469,0.005,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.394,,,,,,,0.000,,,0.000,,0.039,0.259,0.652,,,,,,0.009,,,,,,,,,,,,0.047,,,,,1.441,,,,,,,,,,
5395,1/1/14 1:45,1.464,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.387,,,,,,,0.000,,,0.000,,0.039,0.260,0.621,,,,,,0.009,,,,,,,,,,,,0.079,,,,,1.437,,,,,,,,,,
5395,1/1/14 2:00,1.394,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.393,,,,,,,0.000,,,0.000,,0.039,0.260,0.624,,,,,,0.009,,,,,,,,,,,,0.000,,,,,1.367,,,,,,,,,,
5395,1/1/14 2:15,1.429,0.004,,,,,,,0.013,,,,,0.000,,,,0.000,0.000,0.000,,,0.387,,,,,,,0.000,,,0.000,,0.039,0.260,0.606,,,,,,0.009,,,,,,,,,,,,0.058,,,,,1.401,,,,,,,,,,
