dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9654,1/1/14,0.464,0.000,,,,,,,0.058,,,,,0.010,,,,,,0.004,,,0.007,,,,,,,,0.000,,,,0.150,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,0.004,0.211,,,,,,,
9654,1/1/14 0:15,0.648,0.000,,,,,,,0.058,,,,,0.011,,,,,,0.004,,,0.007,,,,,,,,0.100,,,,0.150,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,0.000,0.302,,,,,,,
9654,1/1/14 0:30,0.752,0.000,,,,,,,0.057,,,,,0.010,,,,,,0.004,,,0.200,,,,,,,,0.000,,,,0.147,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,0.000,0.296,,,,,,,
9654,1/1/14 0:45,0.556,0.000,,,,,,,0.057,,,,,0.010,,,,,,0.004,,,0.007,,,,,,,,0.021,,,,0.145,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,0.000,0.293,,,,,,,
9654,1/1/14 1:00,0.711,0.000,,,,,,,0.056,,,,,0.010,,,,,,0.004,,,0.081,,,,,,,,0.099,,,,0.145,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,0.000,0.293,,,,,,,
9654,1/1/14 1:15,0.691,0.000,,,,,,,0.090,,,,,0.010,,,,,,0.004,,,0.152,,,,,,,,0.004,,,,0.105,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,0.000,0.293,,,,,,,
9654,1/1/14 1:30,0.745,0.000,,,,,,,0.114,,,,,0.010,,,,,,0.004,,,0.007,,,,,,,,0.099,,,,0.000,,,,,,,,0.209,,,,,,,,,,,,,,,,,,,0.000,0.296,,,,,,,
9654,1/1/14 1:45,1.007,0.000,,,,,,,0.104,,,,,0.011,,,,,,0.004,,,0.007,,,,,,,,0.005,,,,0.000,,,,,,,,0.374,,,,,,,,,,,,,,,,,,,0.004,0.516,,,,,,,
9654,1/1/14 2:00,1.196,0.000,,,,,,,0.095,,,,,0.011,,,,,,0.004,,,0.006,,,,,,,,0.096,,,,0.003,,,,,,,,0.372,,,,,,,,,,,,,,,,,,,0.004,0.625,,,,,,,
9654,1/1/14 2:15,1.082,0.000,,,,,,,0.091,,,,,0.011,,,,,,0.004,,,0.110,,,,,,,,0.054,,,,0.003,,,,,,,,0.208,,,,,,,,,,,,,,,,,,,0.000,0.590,,,,,,,
9654,1/1/14 2:30,0.951,0.000,,,,,,,0.085,,,,,0.011,,,,,,0.004,,,0.138,,,,,,,,0.000,,,,0.003,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,0.000,0.596,,,,,,,
