dataid,utc,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,subpanel1,subpanel2,unknown1,unknown2,unknown3,unknown4,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9932,1/1/14,1.710,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,0.391,,,,,,,0.264,,,,,,0.562,,,,,,,,,,
9932,1/1/14 0:15,2.318,0.011,,,,,,,,,,,,,0.000,,,0.000,,,,,0.142,,,,,,,,,,,,,,,,,,,,,,,,0.971,,,,,,,0.499,,,,,,0.572,,,,,,,,,,
9932,1/1/14 0:30,1.207,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.337,,,,,,,0.138,,,,,,0.534,,,,,,,,,,
9932,1/1/14 0:45,0.603,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.456,,,,,,,,,,
9932,1/1/14 1:00,0.815,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.453,,,,,,,,,,
9932,1/1/14 1:15,0.643,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.454,,,,,,,,,,
9932,1/1/14 1:30,0.706,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.188,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.458,,,,,,,,,,
9932,1/1/14 1:45,0.804,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.101,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.583,,,,,,,,,,
9932,1/1/14 2:00,0.813,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.523,,,,,,,,,,
9932,1/1/14 2:15,0.731,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.398,,,,,,,,,,
9932,1/1/14 2:30,0.465,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.074,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.295,,,,,,,,,,
9932,1/1/14 2:45,0.658,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.319,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.301,,,,,,,,,,
9932,1/1/14 3:00,0.520,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.310,,,,,,,,,,
9932,1/1/14 3:15,0.720,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.330,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.309,,,,,,,,,,
9932,1/1/14 3:30,0.455,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.102,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.313,,,,,,,,,,
9932,1/1/14 3:45,0.740,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.291,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.313,,,,,,,,,,
9932,1/1/14 4:00,0.397,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.321,,,,,,,,,,
9932,1/1/14 4:15,0.488,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.312,,,,,,,,,,
9932,1/1/14 4:30,0.370,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.303,,,,,,,,,,
9932,1/1/14 4:45,0.418,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.301,,,,,,,,,,
9932,1/1/14 5:00,0.410,0.012,,,,,,,,,,,,,0.000,,,0.000,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.297,,,,,,,,,,
9932,1/1/14 5:15,1.598,0.012,,,,,,,,,,,,,0.000,,,0.637,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.386,,,,,,,,,,
9932,1/1/14 5:30,1.634,0.012,,,,,,,,,,,,,0.000,,,0.775,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.000,,,,,,0.215,,,,,,,,,,
